d_model,n_heads,n_layers,d_ff,steps,params,val_loss,perplexity
64,2,2,256,3000,110592,0.18231635093688964,1.1999937529877827
64,4,4,256,3000,210176,0.16277625113725663,1.1767733585288644
128,4,4,512,3000,813568,0.12246100008487701,1.1302750385838591
128,4,6,512,3000,1209344,0.13138746246695518,1.1404095616219043
256,8,4,1024,3000,3200000,0.14456356888016064,1.1555351487044314
256,8,6,1024,3000,4777984,0.13547933350006738,1.145085530679856
